latitude,longitude,alarm_type,speed,alarm_weight,risk_score,cluster,risk_level
12.98459529876709,77.74408721923828,PCW,32,10,0.8712132981202423,0,High Risk 🟠
12.98459529876709,77.74408721923828,PCW,32,10,0.8712132981202423,0,High Risk 🟠
12.98723316192627,77.74111938476562,FCW,41,9,0.8228988659313343,0,High Risk 🟠
12.98723316192627,77.74111938476562,FCW,41,9,0.8228988659313343,0,High Risk 🟠
12.987503051757812,77.74005126953125,Overspeed,37,6,0.5334783284138571,1,Medium Risk 🟡
12.987503051757812,77.74005126953125,Overspeed,37,6,0.5334783284138571,1,Medium Risk 🟡
12.987523078918455,77.73670196533203,HMW,32,4,0.3296566723629019,3,Very Low Risk ✅
12.987523078918455,77.73670196533203,HMW,32,4,0.3296566723629019,3,Very Low Risk ✅
12.98820972442627,77.73136901855469,Overspeed,27,6,0.48687276681683994,1,Medium Risk 🟡
12.98820972442627,77.73136901855469,Overspeed,27,6,0.48687276681683994,1,Medium Risk 🟡
12.988225936889648,77.73129272460938,Overspeed,29,6,0.4961938791362434,1,Medium Risk 🟡
12.988225936889648,77.73129272460938,Overspeed,29,6,0.4961938791362434,1,Medium Risk 🟡
12.991209983825684,77.72747802734375,Overspeed,14,6,0.4262855367407176,3,Very Low Risk ✅
12.991209983825684,77.72747802734375,Overspeed,14,6,0.4262855367407176,3,Very Low Risk ✅
12.991192817687988,77.72782897949219,Overspeed,12,6,0.41696442442131426,3,Very Low Risk ✅
12.991192817687988,77.72782897949219,Overspeed,12,6,0.41696442442131426,3,Very Low Risk ✅
12.991230010986328,77.72801971435547,Overspeed,11,6,0.4123038682616124,3,Very Low Risk ✅
12.991230010986328,77.72801971435547,Overspeed,11,6,0.4123038682616124,3,Very Low Risk ✅
12.991470336914062,77.7284164428711,Overspeed,12,6,0.41696442442131426,3,Very Low Risk ✅
12.991470336914062,77.7284164428711,Overspeed,12,6,0.41696442442131426,3,Very Low Risk ✅
12.991477966308594,77.72844696044922,Overspeed,12,6,0.41696442442131426,3,Very Low Risk ✅
12.991477966308594,77.72844696044922,Overspeed,12,6,0.41696442442131426,3,Very Low Risk ✅
12.99173641204834,77.72866821289062,Overspeed,8,6,0.3983221997825072,3,Very Low Risk ✅
12.99173641204834,77.72866821289062,Overspeed,8,6,0.3983221997825072,3,Very Low Risk ✅
12.99176788330078,77.72867584228516,Overspeed,11,6,0.4123038682616124,3,Very Low Risk ✅
12.99176788330078,77.72867584228516,Overspeed,11,6,0.4123038682616124,3,Very Low Risk ✅
12.991921424865724,77.72882080078125,PCW,15,10,0.7919838434053128,0,High Risk 🟠
12.991921424865724,77.72882080078125,PCW,15,10,0.7919838434053128,0,High Risk 🟠
12.99205493927002,77.72904968261719,Overspeed,11,6,0.4123038682616124,3,Very Low Risk ✅
12.99205493927002,77.72904968261719,Overspeed,11,6,0.4123038682616124,3,Very Low Risk ✅
12.992432594299316,77.72986602783203,Overspeed,10,6,0.4076433121019107,3,Very Low Risk ✅
12.992432594299316,77.72986602783203,Overspeed,10,6,0.4076433121019107,3,Very Low Risk ✅
12.992440223693848,77.73042297363281,Overspeed,18,6,0.44492776137952456,3,Very Low Risk ✅
12.992440223693848,77.73042297363281,Overspeed,18,6,0.44492776137952456,3,Very Low Risk ✅
12.994336128234863,77.73131561279297,PCW,24,10,0.8339288488426286,0,High Risk 🟠
12.994336128234863,77.73131561279297,PCW,24,10,0.8339288488426286,0,High Risk 🟠
12.994669914245604,77.73139190673828,PCW,6,10,0.7500388379679974,0,High Risk 🟠
12.994669914245604,77.73139190673828,PCW,6,10,0.7500388379679974,0,High Risk 🟠
12.994680404663086,77.73140716552734,Overspeed,6,6,0.38900108746310386,3,Very Low Risk ✅
12.994680404663086,77.73140716552734,Overspeed,6,6,0.38900108746310386,3,Very Low Risk ✅
12.994720458984377,77.73141479492188,Overspeed,11,6,0.4123038682616124,3,Very Low Risk ✅
12.994720458984377,77.73141479492188,Overspeed,11,6,0.4123038682616124,3,Very Low Risk ✅
12.995397567749023,77.7313461303711,Overspeed,14,6,0.4262855367407176,3,Very Low Risk ✅
12.995397567749023,77.7313461303711,Overspeed,14,6,0.4262855367407176,3,Very Low Risk ✅
12.995443344116213,77.7313232421875,Overspeed,14,6,0.4262855367407176,3,Very Low Risk ✅
12.995443344116213,77.7313232421875,Overspeed,14,6,0.4262855367407176,3,Very Low Risk ✅
12.995758056640623,77.73101043701172,Overspeed,13,6,0.4216249805810158,3,Very Low Risk ✅
12.995758056640623,77.73101043701172,Overspeed,13,6,0.4216249805810158,3,Very Low Risk ✅
12.995722770690918,77.72976684570312,Overspeed,13,6,0.4216249805810158,3,Very Low Risk ✅
12.995722770690918,77.72976684570312,Overspeed,13,6,0.4216249805810158,3,Very Low Risk ✅
12.99543571472168,77.72795104980469,Overspeed,12,6,0.41696442442131426,3,Very Low Risk ✅
12.99543571472168,77.72795104980469,Overspeed,12,6,0.41696442442131426,3,Very Low Risk ✅
12.99487590789795,77.72686767578125,Overspeed,16,6,0.4356066490601211,3,Very Low Risk ✅
12.99487590789795,77.72686767578125,Overspeed,16,6,0.4356066490601211,3,Very Low Risk ✅
12.99470043182373,77.72686767578125,Overspeed,12,6,0.41696442442131426,3,Very Low Risk ✅
12.99470043182373,77.72686767578125,Overspeed,12,6,0.41696442442131426,3,Very Low Risk ✅
12.99466323852539,77.72686767578125,Overspeed,14,6,0.4262855367407176,3,Very Low Risk ✅
12.99466323852539,77.72686767578125,Overspeed,14,6,0.4262855367407176,3,Very Low Risk ✅
12.994150161743164,77.72677612304688,Overspeed,13,6,0.4216249805810158,3,Very Low Risk ✅
12.994150161743164,77.72677612304688,Overspeed,13,6,0.4216249805810158,3,Very Low Risk ✅
12.992708206176758,77.726806640625,Overspeed,14,6,0.4262855367407176,3,Very Low Risk ✅
12.992708206176758,77.726806640625,Overspeed,14,6,0.4262855367407176,3,Very Low Risk ✅
12.991950035095217,77.7269515991211,Overspeed,13,6,0.4216249805810158,3,Very Low Risk ✅
12.991950035095217,77.7269515991211,Overspeed,13,6,0.4216249805810158,3,Very Low Risk ✅
12.991917610168455,77.72697448730469,Overspeed,14,6,0.4262855367407176,3,Very Low Risk ✅
12.991917610168455,77.72697448730469,Overspeed,14,6,0.4262855367407176,3,Very Low Risk ✅
12.991127967834473,77.72760009765625,Overspeed,12,6,0.41696442442131426,3,Very Low Risk ✅
12.991127967834473,77.72760009765625,Overspeed,12,6,0.41696442442131426,3,Very Low Risk ✅
12.99110507965088,77.72763061523438,Overspeed,14,6,0.4262855367407176,3,Very Low Risk ✅
12.99110507965088,77.72763061523438,Overspeed,14,6,0.4262855367407176,3,Very Low Risk ✅
12.991069793701172,77.72765350341797,Overspeed,14,6,0.4262855367407176,3,Very Low Risk ✅
12.991069793701172,77.72765350341797,Overspeed,14,6,0.4262855367407176,3,Very Low Risk ✅
12.99099063873291,77.7276840209961,PCW,16,10,0.7966443995650148,0,High Risk 🟠
12.99099063873291,77.7276840209961,PCW,16,10,0.7966443995650148,0,High Risk 🟠
12.990594863891602,77.72757720947266,Overspeed,10,6,0.4076433121019107,3,Very Low Risk ✅
12.990594863891602,77.72757720947266,Overspeed,10,6,0.4076433121019107,3,Very Low Risk ✅
12.989584922790527,77.72723388671875,Overspeed,13,6,0.4216249805810158,3,Very Low Risk ✅
12.989584922790527,77.72723388671875,Overspeed,13,6,0.4216249805810158,3,Very Low Risk ✅
12.98905086517334,77.72725677490234,Overspeed,14,6,0.4262855367407176,3,Very Low Risk ✅
12.98905086517334,77.72725677490234,Overspeed,14,6,0.4262855367407176,3,Very Low Risk ✅
12.988215446472168,77.73190307617188,HMW,26,4,0.3016933354046915,3,Very Low Risk ✅
12.988215446472168,77.73190307617188,HMW,26,4,0.3016933354046915,3,Very Low Risk ✅
12.987695693969728,77.73564910888672,UFCW,20,8,0.6347677489513748,1,Medium Risk 🟡
12.987695693969728,77.73564910888672,UFCW,20,8,0.6347677489513748,1,Medium Risk 🟡
12.987665176391602,77.73712158203125,UFCW,18,8,0.6254466366319713,1,Medium Risk 🟡
12.987665176391602,77.73712158203125,UFCW,18,8,0.6254466366319713,1,Medium Risk 🟡
12.987674713134766,77.73782348632812,UFCW,19,8,0.630107192791673,1,Medium Risk 🟡
12.987674713134766,77.73782348632812,UFCW,19,8,0.630107192791673,1,Medium Risk 🟡
12.987669944763184,77.73807525634766,PCW,16,10,0.7966443995650148,0,High Risk 🟠
12.987669944763184,77.73807525634766,PCW,16,10,0.7966443995650148,0,High Risk 🟠
12.987663269042969,77.73843383789062,Overspeed,27,6,0.48687276681683994,1,Medium Risk 🟡
12.987663269042969,77.73843383789062,Overspeed,27,6,0.48687276681683994,1,Medium Risk 🟡
12.98766040802002,77.73857879638672,UFCW,28,8,0.6720521982289887,1,Medium Risk 🟡
12.98766040802002,77.73857879638672,UFCW,28,8,0.6720521982289887,1,Medium Risk 🟡
12.98754596710205,77.74049377441406,Overspeed,24,6,0.47289109833773485,1,Medium Risk 🟡
12.98754596710205,77.74049377441406,Overspeed,24,6,0.47289109833773485,1,Medium Risk 🟡
12.987540245056152,77.74056243896484,Overspeed,26,6,0.4822122106571383,1,Medium Risk 🟡
12.987540245056152,77.74056243896484,Overspeed,26,6,0.4822122106571383,1,Medium Risk 🟡
12.987460136413574,77.74091339111328,Overspeed,26,6,0.4822122106571383,1,Medium Risk 🟡
12.987460136413574,77.74091339111328,Overspeed,26,6,0.4822122106571383,1,Medium Risk 🟡
12.987340927124023,77.74137115478516,Overspeed,28,6,0.4915333229765418,1,Medium Risk 🟡
12.987340927124023,77.74137115478516,Overspeed,28,6,0.4915333229765418,1,Medium Risk 🟡
12.987208366394045,77.74195861816406,Overspeed,28,6,0.4915333229765418,1,Medium Risk 🟡
12.987208366394045,77.74195861816406,HMW,28,4,0.311014447724095,3,Very Low Risk ✅
12.987208366394045,77.74195861816406,Overspeed,28,6,0.4915333229765418,1,Medium Risk 🟡
12.987208366394045,77.74195861816406,HMW,28,4,0.311014447724095,3,Very Low Risk ✅
12.987191200256348,77.74202728271484,UFCW,27,8,0.6673916420692867,1,Medium Risk 🟡
12.987191200256348,77.74202728271484,UFCW,27,8,0.6673916420692867,1,Medium Risk 🟡
12.98696517944336,77.74282836914062,Overspeed,27,6,0.48687276681683994,1,Medium Risk 🟡
12.98696517944336,77.74282836914062,Overspeed,27,6,0.48687276681683994,1,Medium Risk 🟡
12.986705780029297,77.74382019042969,FCW,28,9,0.762311635855212,0,High Risk 🟠
12.986705780029297,77.74382019042969,FCW,28,9,0.762311635855212,0,High Risk 🟠
12.986482620239258,77.7447509765625,PCW,11,10,0.7733416187665061,0,High Risk 🟠
12.986482620239258,77.7447509765625,PCW,11,10,0.7733416187665061,0,High Risk 🟠
12.982749938964844,77.74401092529297,UFCW,19,8,0.630107192791673,1,Medium Risk 🟡
12.982749938964844,77.74401092529297,UFCW,19,8,0.630107192791673,1,Medium Risk 🟡
12.97878646850586,77.74220275878906,PCW,29,10,0.8572316296411373,0,High Risk 🟠
12.97878646850586,77.74220275878906,PCW,29,10,0.8572316296411373,0,High Risk 🟠
12.976849555969238,77.74171447753906,PCW,14,10,0.7873232872456113,0,High Risk 🟠
12.976849555969238,77.74171447753906,PCW,14,10,0.7873232872456113,0,High Risk 🟠
12.975768089294434,77.742431640625,PCW,20,10,0.8152866242038217,0,High Risk 🟠
12.975768089294434,77.742431640625,PCW,20,10,0.8152866242038217,0,High Risk 🟠
12.975663185119627,77.74285888671875,PCW,17,10,0.8013049557247163,0,High Risk 🟠
